cell_id,landuse_entropy
r0043_c0100,0.0
r0051_c0400,-0.0
r0051_c0401,-0.0
r0051_c0404,0.0472
r0051_c0412,0.1747
r0051_c0414,-0.0
r0051_c0415,-0.0
r0051_c0416,-0.0
r0051_c0417,-0.0
r0051_c0418,-0.0
r0051_c0419,0.0487
r0051_c0420,0.5291
r0051_c0421,0.9831
r0051_c0422,0.9906
r0051_c0423,0.8605
r0051_c0424,0.0326
r0051_c0425,-0.0
r0051_c0426,-0.0
r0051_c0427,-0.0
r0051_c0428,-0.0
r0051_c0429,-0.0
r0051_c0430,-0.0
r0051_c0431,-0.0
r0051_c0432,-0.0
r0051_c0433,-0.0
r0051_c0434,-0.0
r0051_c0435,-0.0
r0051_c0436,-0.0
r0051_c0438,0.0
r0051_c0439,-0.0
r0051_c0440,0.8055
r0051_c0441,0.891
r0051_c0442,0.065
r0051_c0443,-0.0
r0051_c0444,-0.0
r0051_c0445,0.8453
r0051_c0446,0.5602
r0051_c0447,0.7168
r0051_c0448,1.0803
r0051_c0449,0.6166
r0051_c0452,-0.0
r0051_c0453,-0.0
r0051_c0454,-0.0
r0051_c0455,-0.0
r0052_c0400,-0.0
r0052_c0404,0.1831
r0052_c0412,-0.0
r0052_c0413,1.0357
r0052_c0415,-0.0
r0052_c0416,-0.0
r0052_c0417,-0.0
r0052_c0418,-0.0
r0052_c0419,-0.0
r0052_c0420,-0.0
r0052_c0421,-0.0
r0052_c0422,0.1468
r0052_c0423,0.6119
r0052_c0424,0.933
r0052_c0425,0.7828
r0052_c0426,-0.0
r0052_c0427,-0.0
r0052_c0428,-0.0
r0052_c0429,-0.0
r0052_c0430,-0.0
r0052_c0431,-0.0
r0052_c0432,-0.0
r0052_c0433,-0.0
r0052_c0434,-0.0
r0052_c0435,-0.0
r0052_c0436,-0.0
r0052_c0437,-0.0
r0052_c0438,-0.0
r0052_c0439,-0.0
r0052_c0440,-0.0
r0052_c0441,-0.0
r0052_c0442,-0.0
r0052_c0443,-0.0
r0052_c0444,-0.0
r0052_c0445,-0.0
r0052_c0446,0.2683
r0052_c0447,-0.0
r0052_c0448,-0.0
r0052_c0449,-0.0
r0052_c0450,-0.0
r0052_c0452,-0.0
r0052_c0453,0.9757
r0052_c0454,0.8514
r0052_c0455,0.9789
r0052_c0456,-0.0
r0052_c0457,-0.0
r0052_c0462,-0.0
r0052_c0463,-0.0
r0053_c0397,-0.0
r0053_c0399,-0.0
r0053_c0400,-0.0
r0053_c0411,0.2778
r0053_c0412,-0.0
r0053_c0413,0.9248
r0053_c0414,0.9426
r0053_c0415,-0.0
r0053_c0416,-0.0
r0053_c0417,-0.0
r0053_c0418,-0.0
r0053_c0419,-0.0
r0053_c0422,0.7262
r0053_c0423,-0.0
r0053_c0424,0.099
r0053_c0425,1.0
r0053_c0426,0.9999
r0053_c0427,0.135
r0053_c0428,-0.0
r0053_c0429,-0.0
r0053_c0430,-0.0
r0053_c0431,-0.0
r0053_c0432,-0.0
r0053_c0433,-0.0
r0053_c0434,-0.0
r0053_c0435,-0.0
r0053_c0436,-0.0
r0053_c0437,-0.0
r0053_c0438,-0.0
r0053_c0440,-0.0
r0053_c0441,-0.0
r0053_c0442,-0.0
r0053_c0443,-0.0
r0053_c0444,-0.0
r0053_c0445,-0.0
r0053_c0446,-0.0
r0053_c0447,-0.0
r0053_c0448,-0.0
r0053_c0449,-0.0
r0053_c0450,-0.0
r0053_c0453,-0.0
r0053_c0454,-0.0
r0053_c0455,-0.0
r0053_c0456,0.9947
r0053_c0457,0.9972
r0053_c0458,0.9869
r0053_c0459,-0.0
r0053_c0460,0.9091
r0053_c0461,0.0805
r0053_c0462,-0.0
r0053_c0463,-0.0
r0054_c0394,-0.0
r0054_c0395,-0.0
r0054_c0399,-0.0
r0054_c0404,0.3466
r0054_c0405,-0.0
r0054_c0409,0.0
r0054_c0411,0.9928
r0054_c0412,0.3449
r0054_c0413,-0.0
r0054_c0414,-0.0
r0054_c0415,-0.0
r0054_c0416,-0.0
r0054_c0417,-0.0
r0054_c0418,-0.0
r0054_c0419,-0.0
r0054_c0420,-0.0
r0054_c0421,-0.0
r0054_c0422,0.0037
r0054_c0423,0.9378
r0054_c0424,-0.0
r0054_c0425,-0.0
r0054_c0426,0.8489
r0054_c0427,0.9947
r0054_c0428,-0.0
r0054_c0429,-0.0
r0054_c0430,-0.0
r0054_c0431,-0.0
r0054_c0432,-0.0
r0054_c0433,0.0749
r0054_c0434,0.2072
r0054_c0435,0.2231
r0054_c0440,-0.0
r0054_c0441,-0.0
r0054_c0442,-0.0
r0054_c0443,-0.0
r0054_c0444,-0.0
r0054_c0445,-0.0
r0054_c0446,-0.0
r0054_c0447,-0.0
r0054_c0448,-0.0
r0054_c0449,-0.0
r0054_c0450,-0.0
r0054_c0451,-0.0
r0054_c0452,-0.0
r0054_c0453,-0.0
r0054_c0454,-0.0
r0054_c0455,-0.0
r0054_c0456,-0.0
r0054_c0457,-0.0
r0054_c0460,0.5187
r0054_c0461,-0.0
r0054_c0462,-0.0
r0054_c0463,-0.0
r0055_c0398,-0.0
r0055_c0409,-0.0
r0055_c0410,0.2194
r0055_c0411,0.1852
r0055_c0412,-0.0
r0055_c0413,-0.0
r0055_c0414,-0.0
r0055_c0415,-0.0
r0055_c0416,-0.0
r0055_c0417,-0.0
r0055_c0418,-0.0
r0055_c0419,-0.0
r0055_c0420,-0.0
r0055_c0421,-0.0
r0055_c0422,-0.0
r0055_c0424,-0.0
r0055_c0425,-0.0
r0055_c0426,-0.0
r0055_c0427,0.9428
r0055_c0428,0.8706
r0055_c0429,-0.0
r0055_c0430,-0.0
r0055_c0431,-0.0
r0055_c0432,-0.0
r0055_c0433,0.0495
r0055_c0439,-0.0
r0055_c0440,0.0449
r0055_c0441,0.2379
r0055_c0444,0.6008
r0055_c0445,-0.0
r0055_c0446,-0.0
r0055_c0447,-0.0
r0055_c0448,-0.0
r0055_c0449,-0.0
r0055_c0450,-0.0
r0055_c0451,-0.0
r0055_c0452,-0.0
r0055_c0453,-0.0
r0055_c0460,-0.0
r0055_c0461,-0.0
r0055_c0462,-0.0
r0055_c0463,-0.0
r0056_c0396,0.2237
r0056_c0397,0.0711
r0056_c0403,-0.0
r0056_c0404,-0.0
r0056_c0405,-0.0
r0056_c0406,-0.0
r0056_c0407,-0.0
r0056_c0408,-0.0
r0056_c0409,0.0474
r0056_c0410,0.2038
r0056_c0411,0.9224
r0056_c0412,-0.0
r0056_c0413,-0.0
r0056_c0414,-0.0
r0056_c0415,-0.0
r0056_c0416,-0.0
r0056_c0417,-0.0
r0056_c0418,-0.0
r0056_c0420,-0.0
r0056_c0421,-0.0
r0056_c0422,-0.0
r0056_c0423,-0.0
r0056_c0424,-0.0
r0056_c0425,-0.0
r0056_c0426,-0.0
r0056_c0427,-0.0
r0056_c0428,0.9989
r0056_c0429,0.9176
r0056_c0430,0.717
r0056_c0431,-0.0
r0056_c0432,-0.0
r0056_c0433,-0.0
r0056_c0434,0.2479
r0056_c0435,-0.0
r0056_c0444,0.9034
r0056_c0447,-0.0
r0056_c0448,-0.0
r0056_c0449,-0.0
r0056_c0450,-0.0
r0056_c0451,-0.0
r0056_c0452,-0.0
r0056_c0453,-0.0
r0056_c0454,0.0
r0056_c0459,0.0
r0056_c0460,-0.0
r0056_c0461,-0.0
r0056_c0462,0.1647
r0056_c0463,0.9962
r0057_c0395,-0.0
r0057_c0396,-0.0
r0057_c0403,-0.0
r0057_c0404,-0.0
r0057_c0405,-0.0
r0057_c0406,-0.0
r0057_c0407,-0.0
r0057_c0408,0.2883
r0057_c0409,0.2019
r0057_c0410,0.424
r0057_c0411,0.6133
r0057_c0412,0.0793
r0057_c0413,-0.0
r0057_c0415,-0.0
r0057_c0416,-0.0
r0057_c0417,-0.0
r0057_c0418,-0.0
r0057_c0419,-0.0
r0057_c0420,0.1298
r0057_c0421,-0.0
r0057_c0422,-0.0
r0057_c0423,-0.0
r0057_c0424,-0.0
r0057_c0425,-0.0
r0057_c0426,-0.0
r0057_c0427,-0.0
r0057_c0428,0.7041
r0057_c0429,0.4737
r0057_c0430,0.3836
r0057_c0431,-0.0
r0057_c0432,-0.0
r0057_c0433,-0.0
r0057_c0434,0.0808
r0057_c0435,0.3114
r0057_c0436,-0.0
r0057_c0437,-0.0
r0057_c0447,-0.0
r0057_c0448,-0.0
r0057_c0449,-0.0
r0057_c0450,-0.0
r0057_c0451,-0.0
r0057_c0452,-0.0
r0057_c0453,-0.0
r0057_c0454,0.0
r0057_c0455,0.0
r0057_c0459,-0.0
r0057_c0460,-0.0
r0057_c0461,0.6566
r0057_c0462,0.4701
r0057_c0463,-0.0
r0057_c0473,-0.0
r0057_c0474,0.6858
r0058_c0403,0.3545
r0058_c0404,0.5783
r0058_c0405,0.7614
r0058_c0406,0.9608
r0058_c0407,0.0961
r0058_c0408,0.3343
r0058_c0409,-0.0
r0058_c0410,0.6458
r0058_c0411,-0.0
r0058_c0412,0.3286
r0058_c0413,-0.0
r0058_c0414,-0.0
r0058_c0415,-0.0
r0058_c0416,-0.0
r0058_c0417,-0.0
r0058_c0418,-0.0
r0058_c0419,-0.0
r0058_c0420,-0.0
r0058_c0421,-0.0
r0058_c0422,-0.0
r0058_c0423,-0.0
r0058_c0424,-0.0
r0058_c0425,-0.0
r0058_c0426,-0.0
r0058_c0427,-0.0
r0058_c0428,0.8576
r0058_c0429,-0.0
r0058_c0430,0.9088
r0058_c0431,-0.0
r0058_c0432,-0.0
r0058_c0433,-0.0
r0058_c0434,-0.0
r0058_c0435,-0.0
r0058_c0436,-0.0
r0058_c0437,-0.0
r0058_c0448,-0.0
r0058_c0449,-0.0
r0058_c0450,-0.0
r0058_c0451,-0.0
r0058_c0452,-0.0
r0058_c0454,0.0
r0058_c0455,0.0
r0058_c0456,0.0
r0058_c0458,-0.0
r0058_c0460,1.0812
r0058_c0462,-0.0
r0058_c0471,-0.0
r0058_c0472,-0.0
r0058_c0473,0.4244
r0058_c0474,0.6801
r0059_c0395,0.0
r0059_c0401,-0.0
r0059_c0403,-0.0
r0059_c0404,-0.0
r0059_c0405,0.3881
r0059_c0406,0.6094
r0059_c0407,0.2365
r0059_c0408,0.4799
r0059_c0409,0.5404
r0059_c0410,0.0587
r0059_c0411,0.1242
r0059_c0412,-0.0
r0059_c0413,-0.0
r0059_c0414,-0.0
r0059_c0415,-0.0
r0059_c0416,-0.0
r0059_c0417,-0.0
r0059_c0418,-0.0
r0059_c0419,-0.0
r0059_c0420,-0.0
r0059_c0421,-0.0
r0059_c0422,-0.0
r0059_c0423,-0.0
r0059_c0424,-0.0
r0059_c0425,1.3652
r0059_c0426,0.8803
r0059_c0427,-0.0
r0059_c0430,0.4414
r0059_c0431,0.2971
r0059_c0432,-0.0
r0059_c0433,-0.0
r0059_c0434,-0.0
r0059_c0435,-0.0
r0059_c0436,-0.0
r0059_c0437,-0.0
r0059_c0447,-0.0
r0059_c0448,-0.0
r0059_c0449,-0.0
r0059_c0450,-0.0
r0059_c0451,-0.0
r0059_c0452,-0.0
r0059_c0456,0.0
r0059_c0457,0.0
r0059_c0459,0.8848
r0059_c0460,0.0409
r0059_c0461,-0.0
r0059_c0468,-0.0
r0059_c0469,-0.0
r0059_c0470,-0.0
r0059_c0471,-0.0
r0059_c0472,-0.0
r0059_c0473,0.6151
r0059_c0474,0.3357
r0059_c0475,-0.0
r0059_c0476,-0.0
r0060_c0403,0.6944
r0060_c0404,0.2093
r0060_c0405,0.871
r0060_c0406,0.9896
r0060_c0408,0.7336
r0060_c0409,1.0285
r0060_c0410,-0.0
r0060_c0411,0.3675
r0060_c0412,-0.0
r0060_c0413,-0.0
r0060_c0414,-0.0
r0060_c0415,-0.0
r0060_c0416,-0.0
r0060_c0417,-0.0
r0060_c0418,-0.0
r0060_c0419,-0.0
r0060_c0420,-0.0
r0060_c0421,-0.0
r0060_c0422,0.2566
r0060_c0423,-0.0
r0060_c0424,-0.0
r0060_c0425,0.9352
r0060_c0426,0.142
r0060_c0427,0.0
r0060_c0430,-0.0
r0060_c0431,0.9933
r0060_c0432,-0.0
r0060_c0433,-0.0
r0060_c0434,-0.0
r0060_c0435,-0.0
r0060_c0436,-0.0
r0060_c0437,-0.0
r0060_c0438,-0.0
r0060_c0443,0.0
r0060_c0446,-0.0
r0060_c0447,-0.0
r0060_c0448,-0.0
r0060_c0450,-0.0
r0060_c0451,-0.0
r0060_c0452,-0.0
r0060_c0454,1.3384
r0060_c0455,1.8384
r0060_c0456,0.0
r0060_c0457,0.0
r0060_c0458,0.0
